city,state,lat,lon,signal_count,unrest_score
Los Angeles,CA,34.1141,-118.4068,40,98.3
Seattle,WA,47.6211,-122.3244,10,23.1
Des Moines,IA,41.5725,-93.6105,1,8.1
New York,NY,40.6943,-73.9249,1,5.6
Palestine,TX,31.7544,-95.6471,2,5.4
Alameda,CA,37.7668,-122.267,2,4.5
Chicago,IL,41.8375,-87.6866,3,4.2
California,MD,38.2969,-76.4949,1,2.7
Hawthorne,CA,33.9147,-118.3476,1,2.7
Defiance,OH,41.2813,-84.3657,1,2.7
Manhattan,NY,40.7834,-73.9662,1,2.7
Glendale,AZ,33.5791,-112.2311,1,2.7
Dallas,TX,32.7935,-96.7667,1,2.7
Oregon,OH,41.6524,-83.4321,1,1.8
Seal Beach,CA,33.7542,-118.0714,1,1.8
